"nama","genre","asal"
"Prisa Rianzi","http://id.dbpedia.org/resource/Musik_metal","Indonesia"
"Sawung Jabo","http://id.dbpedia.org/resource/Balada","Surabaya, Jawa Timur, Indonesia"
"Sawung Jabo","http://id.dbpedia.org/resource/Pop","Surabaya, Jawa Timur, Indonesia"
"Sawung Jabo","http://id.dbpedia.org/resource/Rock","Surabaya, Jawa Timur, Indonesia"
"Yacko","http://id.dbpedia.org/resource/Rap","Surabaya, Jawa Timur"
"Yacko","http://id.dbpedia.org/resource/Hip_hop","Surabaya, Jawa Timur"
"Yacko","http://id.dbpedia.org/resource/Trance","Surabaya, Jawa Timur"
"Saskia","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Saskia","http://id.dbpedia.org/resource/Rock","Jakarta, Indonesia"
"Feby Febiola","http://id.dbpedia.org/resource/Pop","Jakarta, DKI Jakarta, Indonesia"
"Feby Febiola","http://id.dbpedia.org/resource/Gospel","Jakarta, DKI Jakarta, Indonesia"
"Ellya Khadam","http://id.dbpedia.org/resource/Dangdut","Jakarta, DKI Jakarta, Indonesia"
"Ellya Khadam","http://id.dbpedia.org/resource/Pop_melayu","Jakarta, DKI Jakarta, Indonesia"
"Ika Putri","http://id.dbpedia.org/resource/Pop","Surabaya, Jawa Timur, Indonesia"
"Elizabeth Priscillia","http://id.dbpedia.org/resource/Pop","Surabaya, Indonesia"
"Ecky Lamoh","http://id.dbpedia.org/resource/Blues","Jakarta, DIY Jakarta, Indonesia"
"Ecky Lamoh","http://id.dbpedia.org/resource/Hard_Rock","Jakarta, DIY Jakarta, Indonesia"
"Eren","http://id.dbpedia.org/resource/Pop","Lampung, Bandar Lampung, Indonesia"
"Gretha Martini","http://id.dbpedia.org/resource/Pop","Medan, Indonesia"
"Gretha Martini","http://id.dbpedia.org/resource/Gospel","Medan, Indonesia"
"Gretha Martini","http://id.dbpedia.org/resource/Folk","Medan, Indonesia"
"Fitria Anggraeni","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Fitria Anggraeni","http://id.dbpedia.org/resource/Rock","Jakarta, Indonesia"
"Erna Libby","Pop","Jakarta, Indonesia"
"Chiquita Meidy","http://id.dbpedia.org/resource/Pop","Jakarta, Indonesia"
"Bram Moersas","Pop","Malang, Jawa Timur, Indonesia"
"Intan RJ","http://id.dbpedia.org/resource/Power_pop","Jakarta, Indonesia"
"Intan RJ","http://id.dbpedia.org/resource/Rock","Jakarta, Indonesia"
"Yosie Lucky","http://id.dbpedia.org/resource/Rock","Bandung, Jawa Barat, Indonesia"
"Fenny Dior","http://id.dbpedia.org/resource/Pop","Semarang, Jawa Tengah, Indonesia"
"Nindy Ayunda","Pop, Teen Pop","Padang, Sumatera Barat, Indonesia"
"Anie Carera","http://id.dbpedia.org/resource/Pop","Madiun, Indonesia"
"Anie Carera","http://id.dbpedia.org/resource/Rock","Madiun, Indonesia"
"Mikha Tambayong","http://id.dbpedia.org/resource/Musik_pop","Jakarta,"
"Mikha Tambayong","http://id.dbpedia.org/resource/Gospel","Jakarta,"
"Fanny Bauty","http://id.dbpedia.org/resource/Pop","Indonesia"
"Andy Liany","RockMetal","Tanjungpinang, Kepulauan Riau, Indonesia"
"Dara Rizki Ruhiana","Rocl","Tasikmalaya, Indonesia"
"Jusup Sitepu","http://id.dbpedia.org/resource/Pop","Karo, Sumatera Utara, Indonesia"
"Monita Tahalea","Pop, Jazz","Indonesia"
"Aliya Sachi","http://id.dbpedia.org/resource/Pop","Indonesia"
"Yunika","Modern Pop Progesive","Bandung, Indonesia"
"Ritta Rubby Hartland","http://id.dbpedia.org/resource/Country","Indonesia"
"Ritta Rubby Hartland","http://id.dbpedia.org/resource/Pop","Indonesia"
"Ritta Rubby Hartland","http://id.dbpedia.org/resource/Country_pop","Indonesia"
"Bashiira","http://id.dbpedia.org/resource/Pop","Minneapolis , Minnesota"
"Fryda","http://id.dbpedia.org/resource/Pop","Semarang, Jawa Tengah, Indonesia"
"Mytha Lestari","http://id.dbpedia.org/resource/Jazz","Biak, Indonesia"
"Mytha Lestari","http://id.dbpedia.org/resource/Pop","Biak, Indonesia"
"Nunung Wardiman","Jazz","Surabaya, Indonesia"
