nama,genre,asal
lisa a. riyanto,pop,jakarta
nola tilaar,jazz,minahasa
nola tilaar,reggae,minahasa
nola tilaar,swing,minahasa
nola tilaar,pop,minahasa
tia,pop,surakarta
aura kasih,pop,jakarta
prisa rianzi,pop_rock,jakarta
prisa rianzi,pop,jakarta
prisa rianzi,rock_metal,jakarta
sawung jabo,balada,surabaya
sawung jabo,pop,surabaya
sawung jabo,rock,surabaya
yacko,rap,surabaya
yacko,hip_hop,surabaya
saskia,pop,jakarta
saskia,rock,jakarta
feby febiola,pop,jakarta
feby febiola,religi,jakarta
ellya khadam,dangdut,jakarta
ellya khadam,pop_melayu,jakarta
ika putri,pop,surabaya
elizabeth priscillia,pop,surabaya
ecky lamoh,blues,jakarta
ecky lamoh,rock,jakarta
eren,pop,lampung
gretha martini,pop,medan
gretha martini,religi,medan
gretha martini,folk,medan
fitria anggraeni,pop,jakarta
fitria anggraeni,rock,jakarta
erna libby,pop,jakarta
chiquita meidy,pop,jakarta
bram moersas,pop,malang
intan rj,power_pop,jakarta
intan rj,rock,jakarta
yosie lucky,rock,bandung
fenny dior,pop,semarang
nindy ayunda,pop,padang
anie carera,pop,madiun
anie carera,rock,madiun
mikha tambayong,pop,jakarta
mikha tambayong,religi,jakarta
fanny bauty,pop,agam
andy liany,rock_metal,tanjungpinang
dara rizki ruhiana,rock,tasikmalaya
jusup sitepu,pop,karo
monita tahalea,pop,manado
monita tahalea,jazz,manado
aliya sachi,pop,bandung
yunika,pop,bandung
bashiira,pop,"minneapolis , minnesota"
fryda,pop,semarang
mytha lestari,jazz,biak
mytha lestari,pop,biak
nunung wardiman,jazz,surabaya
erie suzan,r&b,lamongan
erie suzan,dangdut,lamongan
erie suzan,rock,lamongan
erie suzan,pop,lamongan
renny djajoesman,rock,semarang
tuti maryati,keroncong,makassar
tuti maryati,pop,makassar
ine sinthya,dangdut,cianjur
bonita,jazz,jakarta
bonita,pop,jakarta
lala suwages,jazz,jayapura
lala suwages,r&b,jayapura
lala suwages,soul,jayapura
ucie nurul,jazz,jakarta
ucie nurul,pop,jakarta
eka deli,dangdut,surabaya
eka deli,jazz,surabaya
eka deli,r&b,surabaya
eka deli,pop,surabaya
eka deli,religi,surabaya
inke prima,jazz,magelang
inke prima,r&b,magelang
inke prima,pop,magelang
dike ardilla,pop,bandung
dike ardilla,rock,bandung
dike ardilla,slow_rock,bandung
asti asmodiwati,pop,jakarta
lucky resha,pop,bandung
terry,pop,jakarta
joeniar arief,jazz,bandung
joeniar arief,r&b,bandung
joeniar arief,soul,bandung
putri ayu silaen,pop,sibolga
putri ayu silaen,seriosa,sibolga
ashanty,pop,jakarta
andre hehanussa,pop,ujungpandang
andre hehanussa,religi,ujungpandang
elly kasim,folk,agam
rio silaen,pop,jakarta
rio silaen,r&b,jakarta
rio silaen,jazz,jakarta
herty sitorus,pop,medan
herty sitorus,dangdut,medan
herty sitorus,folk,medan
nada soraya,dangdut,bogor
rangga dewamoela,pop,belanda
sandro tobing,pop,medan
widy soediro nichlany,pop,jakarta
silva r. kavadia,pop,palembang
tiar ramon,folk,padang pariaman
raisa,blues,jakarta
raisa,jazz,jakarta
raisa,soul,jakarta
mutya lorenza,pop,jakarta
mutya lorenza,akustik,jakarta
ronni waluya,jazz,bandung
ronni waluya,pop,bandung
diah iskandar,pop,jakarta
diah iskandar,folk,jakarta
helena andrian,pop,jakarta
dhisa,jazz,denpasar
dhisa,pop,denpasar
natly (7 icons),pop,surabaya
